SA1_CODE_2021,Tot_Tot,Negative_Nil_income_Tot,HI_1500_1749_Tot,HI_2000_2499_Tot
10201104027,143,0,9,14
10201104028,133,3,9,21
10201104029,241,4,9,18
10201104030,189,8,7,12
10201104031,172,0,13,20
10201104032,128,0,7,16
10201104033,181,3,11,14
10201104034,204,0,18,33
10201104035,128,0,8,10
10201104036,139,0,9,13
10201104037,130,4,7,10
10201104038,148,0,7,16
10201104039,247,3,20,19
10201104040,186,0,14,13
10201104041,153,6,15,14
10201104042,205,3,14,15
10201104043,248,9,15,24
10201104044,153,0,8,11
10201104045,201,0,15,26
10201104046,186,4,9,18
10201104047,211,7,12,25
10201104048,171,0,12,19
10201104049,168,4,5,15
10201104050,131,0,0,18
10201104051,172,0,12,23
10201104052,135,6,3,18
10201104053,237,5,18,21
10201104054,129,3,3,20
10201104055,195,3,10,20
10201104056,157,4,10,23
10201104057,229,6,11,31
10201104058,125,0,3,14
10201104101,192,0,4,13
10201104102,224,5,9,14
10201104103,140,0,5,20
10201104104,153,3,10,14
10201104105,124,0,4,12
10201104106,116,0,3,10
10201104107,84,3,3,5
10201104108,0,0,0,0
10201104109,154,0,7,16
10201104110,166,4,7,14
10201104111,97,0,6,12
10201104112,177,0,8,16
10201104113,118,3,0,8
10201104114,206,0,7,26
10201104115,139,0,6,10
10201104116,135,9,7,10
10201104117,100,0,0,18
10201104118,0,0,0,0
10201104119,169,0,10,25
10201104120,147,0,9,16
10201104121,452,12,18,29
10201104122,94,4,5,13
10201104123,146,0,12,21
10201104124,158,3,0,20
10201104125,162,0,4,14
10201104201,189,6,9,16
10201104202,233,6,10,22
10201104203,119,3,7,11
10201104204,250,7,13,15
10201104205,278,7,20,16
10201104206,0,0,0,0
10201104207,189,4,13,14
10201104208,262,5,14,7
10201104209,114,0,3,10
10201104210,164,4,11,16
10201104211,161,4,9,18
10201104212,0,0,0,0
10201104213,287,7,10,24
10201104214,248,3,13,28
10201104215,181,5,9,18
10201104216,162,0,8,13
10201104217,217,6,15,24
10201104218,183,3,14,28
10201104219,173,0,11,16
10201104220,248,5,13,28
10201104221,231,6,16,19
10201104222,173,0,12,18
